message_content,message_category
,rec.sport.baseball
"
Another word (offense) makes them my pick for last too.
(Well, there's also my policy of never picking a Buck Rodgers' team for last)


The 1961 Angels were  1/2 game out of 7th. The Athletics and 
expansion Senators finished tied for last. 
The 1962 Colt 45's finshed 8th - ahead of the Cubs (the Mets were last).
The 1969 Royals finshed 4th - ahead of the White Sox (the Pilots in last).
The 1977 Mariners finished 6th - ahead of the Athletics(in last).

Apparently being an expansion team with a poor A's or Chicago 
team around is a `good thing'


This may be an appropriate comparison.
The 1929-31 Yankees finshed 2nd, 3rd and 2nd finshing 
18, 16 and 13-1/2 games out of first. 
In 1933,'34 and '35 they also finished second ( though they were only
7, 7 and 3 games out).
Even great teams can lose - That's why they play the season.
(on the other hand... I'm still picking the Braves to go all the way)",rec.sport.baseball
"Is there an FTP archive for United States Geological Services (USGS)
terrain data? If so, where?
",comp.graphics
"I have been looking at some of the recent productions on homosexuality
and decided that I was interested in videotaped copies of these.  If
anyone can help me out here, I would very much appreciate it.

Here is what I am looking for:

* - ""The Gay Agenda"" produced by Ty Beeson's group The Report.

* - John Ankerberg's recent series ""Understanding Homosexuality and
Experiencing Genuine Change.""

* - James Kennedy's special on homosexuality which aired this week,
and the portion of the previous week's program which discussed ""The
Gay Agenda.""

I will not pay money for copies, since this is copyrighted material
and that would be illegal.  I will pay for return postage.  If
somebody can think of something they would desire in trade, please let
me know and I'll see what I can do.

Oh, BTW, I'm watching the March On Washington right now on C-SPAN. 
Other than the fact that I'm generally repulsed by what I'm watching,
I found one thing of interest.  General David Dinkins just finished
speaking, and remarked that the New York City delegation consists of
about 200,000 people.  Funny, I don't see 200,000 people out there,
period.  Must've been quite the party scene last night.  Or maybe
their exaggerations were just too much.

Sean Patrick Ryan****fsspr@aurora.alaska.edu or sean@freds.cojones.com
3215 Oregon Dr. #2, Anchorage, AK  99517-2048****907-272-9184****fnord
Abortion stops a beating heart****Disclaimer:  I didn't inhale, either
IDITAROD SCOREBOARD 1993 - MEN 16, WOMEN 5****Read alt.flame.sean-ryan",soc.religion.christian
" 

Always existing and being the source of the existence of all other beings
is not problematic.

But, as you put, Being the source of ""all"" existence, including one's own,
would mean that God came from nothing, a concept alien to Christianity and
Theism.  It is better to understand the classical concepts of Necessary and
Contingent existence.  God exists necessarily, always.  God created
contingent beings.  This is a coherent solution to existence, so long as
the concept of God is coherent.
 

Not a very good answer.  If reason cannot by any means understand something
then it is likely that ""it"" is a null concept, something not in reality.",soc.religion.christian
"
the classic references in this area are Jacques Ellul for a
liberal/evangelical perspective and Os Guiness for a straight
evangelical view.  If you want to look at non-christian sources
try Alvin Toffler as the perennial optimist.  His views while
blatently non christian explore where technology may be going.


This is regardless of technology.  Be careful to separate the issues of
related to speed and dispersion of technology (how far the letter
went and how quickly it got there) and the message being passed in the
technology (something that seems to be totally wrong.)


When lecturing in this area I challenge my (non-christan/atheistic) class
about the impact technology has on life, quality of life and the rights
that they consider important.  Depending on how you work out your
faith will determine your response to the use of technology.  For example
friends of mine are considering IVF due to a life threatening situation the
wife is going through; when it is over they will have the baby. (God
willing).  In this case the technology is available and my friends have to
decide what to do.  In all cases though you must decide if the technology
is against God's revealed word.

Regards
 David",soc.religion.christian
"
   Path: news.larc.nasa.gov!darwin.sura.net!zaphod.mps.ohio-state.edu!uwm.edu!linac!att!bu.edu!dozonoff
   From: dozonoff@bu.edu (david ozonoff)
   Newsgroups: sci.med
   Date: 21 Apr 93 16:18:19 GMT
   References: <PAULSON.93Apr19081647@cmb00.larc.nasa.gov>
   Sender: news@bu.edu
   Lines: 22
   X-Newsreader: Tin 1.1 PL5

   : 
   {much deleted]
   : 
   : 
   : The fact that this happened while eating two sugar coated cereals made
   : by Kellog's makes me think she might be having an allergic reaction to
   : something in the coating or the cereals.  Of the four of us in our
   : immediate family, Kathryn shows the least signs of the hay fever, running
   : nose, itchy eyes, etc. but we have a lot of allergies in our family history
   : including some weird food allergies - nuts, mushrooms. 
   : 

   Many of these cereals are corn-based. After your post I looked in the
   literature and located two articles that implicated corn (contains
   tryptophan) and seizures. The idea is that corn in the diet might
   potentiate an already existing or latent seizure disorder, not cause it.
   Check to see if the two Kellog cereals are corn based. I'd be interested.
   --
   David Ozonoff, MD, MPH		 |Boston University School of Public Health
   dozonoff@med-itvax1.bu.edu	 |80 East Concord St., T3C
   (617) 638-4620			 |Boston, MA 02118 


A couple of folks have suggested the ""corn connection"".  In the five month
period between the two seizures, my daughter had eaten a fair amount of
Kix and Berry Berry Kix in the mornings and never had a problem.  I checked
the labels and the first ingredient is corn.  She has also never had a problem
eating corn or corn on the cob but of course, that is usually later in the day
with a full stomach so the absorption would not be so high.  I do believe that
Frost Flakes have corn in them but I will have to check the Fruit Loops.  But
the fact that she has eaten this other corny cereal in the morning makes me
wonder.

Thanks for checking into this.  All information at this point is valuable to me.

Sharon",sci.med
": >
: >: From a business point of view, it might make sense.  It depends on
: >: the personality of the practitioner.  If he can charm the patients
: >: into coming, homeopathy can be very profitable.  It won't be covered
: >: by insurance, however.  Just keep that in mind.  Myself, I'd have 
: >^^^^^^^^^^^^^^^^^^^^^^^
: >
: >In many European countries Homepathy is accepted as a method of curing
: >(or at least alleiating) many conditions to which modern medicine has 
: >no answer. In most of these countries insurance pays for the 
: >treatments.
: >

: Accepted by whom?  Not by scientists.  There are people
: in every country who waste time and money on quackery.
: In Britain and Scandanavia, where I have worked, it was not paid for.
: What are ""most of these countries?""  I don't believe you.

In Holland insurences pay for Homeopathic treatment. In Germany they do
so as well. I Austria they do if you have a condition which can not be 
helped by ""normal"" medicine (happened to me). Switzerland seems to be 
the same as Austria (I have direct experience in the Swiss case).

At the Univeristy of Vienna (I believe Innsbruck as well) homeopathy
can be taken in Med. school.

I found that in combination with Acupuncture it changed my life from
living hell to a condition which enables me to lead a relatively 
normal life. I found that modern medicine was powerless to cure me
of a *severe* case of Neurodermitis (Note: I mean cure, not 
surpress the symptoms, which is what modern medicine attempts to 
do in the case of Neurodermitis). 

I'm not saying that Homeopathy is scientific, but that it can offer 
help in areas in which modern medicine is absolutely helpless.

From reading your aritcle it seems that your have some deeply rooted
beliefs about this issue (this is not intended to be offensive or 
sarcastic - it just sounded like that to me) which makes me doubt 
if you can read this with an open mind. If you do/can, please excuse
my last comment.",sci.med
"
Of course if this question was asked in a group dealing with economics,
the answer would be that the cause of war was economic. My observations
over the past 30 years (and not withstanding a little history reading
beside) is that while religious differences do play a part in many of
the conflicts, so does (unfortunately) race, economics and any other
items that identify one group of men as being different from another.

If we want to couch the cause of conflict in Christian terms, I would
put it while Christ died for our sins, we are yet sinners. While some
individuals assume ""Christlike"" natures, most of us do not even
come close.

I realize that in many ways this is a trite answer, but I guess that
it is my way of rationalizing man's constant (or so it seems)
conflict.


---------------------------------------------------------------------",soc.religion.christian
"Hi,

I've just returned from a visit with my OB/GYN and I have a few 
concerns that maybe y'all can help me with.  I've been seeing 
her every 4 weeks for the past few months (I'm at week 28) 
and during the last 2 visits I've gained 9 to 9 1/2 pounds every 
4 weeks.  She said this was unacceptable over any 4 week period. 
As it stands I've thus far gained 26 pounds.  Also she says that 
though I'm at 28 weeks the baby's size is 27 weeks, I think she 
mentioned 27 inches for the top of the fundus.  When I was 13 
weeks the baby's size was 14 weeks.  I must also add, that I had 
an operation a few years ago for endometriosis and I've had no 
problems with endometriosis but apparently it is causing me pain 
in my pelvic region during the pregnancy, and I have a very 
difficult time moving, and the doc has recommended I not walk or 
move unless I have to. (I have a little handicapped sticker for 
when I do need to go out.) 

Anyway that's 1/2 of the situation the other is that almost from 
the beginning of pregnancy I was getting sick (throwing up) about 
2-3 times a day and mostly it was bile that was being eliminated.  
(I told her about this).  I know this because I wasn't eating 
very much due to the nausea and could see the 'results'.  Well 
now I only get sick about once every 1-2 weeks, and it is still bile 
related.  But in addition I had begun to feel movement near my 
upper right abdomen, just below the right breast, usually when I 
was lying on my right side.  It began to get worse though because 
it started to hurt when I lay on my right side, and then it hurt  
no matter what position I was in.  Next, I noticed that when I 
ate greasy or fatty foods I felt like my entire abdomen had 
turned to stone, and the pain in the area got worse.  However if 
I ate sauerkraut or vinegar or something to 'cut' the fat it 
wasn't as much of a problem.

So the doctor says I have cholistatis, and that I should avoid 
fatty foods.  This makes sense, and because I was already aware 
of what seemed to me this cause and effect relationship I have 
been avoiding these foods on my own.  But I'm still able to eat 
foods with Ricotta cheese for instance and other low fat foods.  

But doc wants me to be on a non-fat diet.  This means no meat 
except fish and chicken w/o skin (I do this anyway).  No nuts, 
fried food, cheese etc.  I am allowed skim milk.  She said I 
should avoid anything sweet (e.g. bananas).  Also I must only 
have one serving of something high in carbohydrates a day ( 
potatoes, pasta, rice)!  She said I can't even cook vegetables in 
a little bit of oil and that I should eat vegetables raw or 
steamed.  I'm concerned because I understand you need to have 
some fat in your diet to help in the digestive process.  And if 
I'm not taking in fat, is she expecting the baby will take it 
from my stores?  And why this restriction on carbohydrates if 
she's concerned about fat?  I'm not clear how much of her 
recommendation is based on my weight gain and how much on 
cholistatis, which I can't seem to find any information on.  She 
originally said that I should only gain 20 pounds during the 
entire pregnancy since I was about 20 lbs overweight when I 
started.  But my sister gained 60 lbs during her pregnancy and 
she's taken it all off and hasn't had any problems.  She also 
asked if any members of my family were obese, which none of them 
are.  Anyway I think she is overly concerned about weight gain, 
and feel like I'm being 'punished' by a severe diet.  She did 
want to see me again in one week so I think she the diet may be 
temporary for that one week. 

What I want to know is how reasonable is this non-fat diet?  I 
would understand if she had said low-fat diet, since I'm trying 
that anyway, even if she said really low-fat diet.  I think she 
assumes I must be eating a high-fat diet, but really it is that 
because of the endometriosis and the operation I'm not able to 
use the energy from the food I do eat. 

Any opinions, info and experiences will be appreciated.  I'm 
truly going stark raving mad trying to meet this new strict diet 
because fruits and vegetables go through my system in a few 
minutes and I'll end up having to eat constantly.  Thus far I 
don't find any foods satisfying.

Thanks ",sci.med
"
Not to drag this out anymore, but....

Many veterinarians feel that Lyme Disease in dogs is so easy to treat that
in an endemic area, they often just give the appropriate antibiotics to dogs
presenting with lameness, swollen joints, +/- fever.

A recent paper (March 1993) has finally established that Lyme disease in dogs
can be reproduced in a controlled experimentaly setting.  This has been
an ellusive matter for researchers, and is one of the fundamental requirements
for many to acknowledge an agent as being causitive of a particular disease.
Up to now, only the vaccine manufacturer has been able to ""prove"" that
the disease exists.

This paper is noteworthy in two other regards:

1) None of the animals they infected were treated in any way.  The dogs
had episodes of lameness during a 6-8 week period which occurred 2-5
months after exposure.  After this period, none showed any further
clinical signs up to the 17 month observation period of the study.  So
these are proven, clinically sick Lyme patients showing spontaneous
recovery without the benefit of drug treatment. Of course, observations
longer than 17 months will be necessary to be sure the disease doesn't
have the same chronicity that some see in humans.

2)  The addendum to the paper calls into question the techniques used by the
vaccine manufacturer to validate the vaccine.  Of course, they want
the world to use the model they developed in order to test vaccine
efficacy.

Anyway, maybe we will see some independent, scientifically sound evaluations
of this vaccine in the next year or so.
",sci.med
"The Sophomore
          (Romans 1:22)

The sophomore says, ``What is truth?''
and turns to bask in the admiration of his peers.

How modern how daring how liberating
How modern how daring how liberating
they chant

The sophomore, being American
Doesn't know
That his ``question''

   modern
       skeptical
           cynical

Was asked before, by a

   modern
       skeptical
           cynical
   urbane cosmopolitan

Politician (appointed not elected)
Who happened to live two thousand years ago.

Like many politicians he cared

    Less about ideals
         than results

    Less about ends
         than means

    Less about anything
         than keeping his job
              (and his head).

We might call him
A bit brutal
Though `firm' would be kinder
(And no doubt Stalin, who let nobody go, laughed at his laxness)
He didn't like his job; perhaps he no longer hoped for better
(Nor feared worse, except regarding his head).

And when these wily Jews
With their heads-I-win, tails-you-lose
     conundrums
Brought forth their madman,
His first impulse was to play the Roman:
``I find nothing wrong with him,
  See to it yourselves.''

But when they mentioned `King' and `Caesar'
His heart froze.

If he killed their madman
    He'd start a riot
         and lose his job
             (and his head)

If he saved the King of the Jews
    He'd piss off Caesar
         and lose his job
             (and his head)

And when his wife told him to have
   Nothing to do with the righteous lout
She didn't tell him anything
   He hadn't already figured out.

So he punted.

``Not my jurisdiction!  Take him to see Herod!''
(who just happened to be in town....)

Herod appreciated the courtesy
But wasn't worried
        And sent the sharp-tongued fool
     (Who suddenly didn't have much to say,
    funny how people lose it under pressure....)
  back
In the attire proper
  to his Royal State.

His ass is covered---if Herod has no problem,
Caesar certainly won't.  The fool can be king
of whatever world he wants
as long as it's not Caesar's.

``I'm letting him go,'' he said with a shout.
(Looks like he'll last this one out....)

The crowd's reaction puzzled him.
  They really wanted him dead.
They didn't want the King of the Jews,
  They wanted Barabbas instead
(And, as Josephus records, they got him)

Oh well, he thought,
They all look the same to me.
And we'll get Barabbas next time.

And if I can get them to say
   ``We have no king but Caesar!''
   By killing a madman,
Hell, I'll kill ten a day.

And then Pilate had his fun
  A little joke
    Short
      To the point
        Trilingual

And all this
Went as it always does
When someone gets caught
In the gears of government

And there's a scientific explanation
     (no doubt)
For the superstitious rumors
     (persisting to this day)
That it didn't all end
With a tomb
and a Roman squadron on guard.

Our sophomore doesn't know about this
He doesn't recognize his kindred spirit
(Or truth either, as he admits).

I guess we haven't learned much
in two thousand years.



",soc.religion.christian
"     I am doing a term paper on steroids, actually the scientist who
helped crate the drug. I discovered that Joseph Fruton is one of the
researchers who helped create anabolic steroids. The only information on 
this person I know is he was a biochemist that did research in the 1930's.
I already did research at my local libraries, but I still need more
information. My instructor is requiring resources from the computer
networks. Please write back concerning my subject, any books, articles,
etc., will be appreciated.  
",sci.med
"
 [ etc. ]

Hey, he's the only manager so far to lead the Seattle Mariners to a 
winning season, out of, what, fifteen?  Give him some credit for that.

						-- dave

-- 
 /'''    The Machman       machman@u.washington.edu      david c carroll
 c-OO                                                                      
    \                     ""Big Science.  Hallelujah""",rec.sport.baseball
"Dear Netters:

A new religious newsgroup ""soc.religion.islam.ahmadiyya"" was pro-
posed  on  Oct  16,  1992. The discussion about this new proposed
newsgroup went on in various related groups.  The  proposal,  was
supposed to enter a vote during the last week of November 92. Due
to a false Call For Votes, by some opponent, the voting had to be
canceled.  I  quote  here  a  statement  from  the  moderator  of
new.announce.newgroups:


""The current Call For Votes (CFV) for an Ahmadiyya newsgroup
 is being canceled. A new call for votes will be issued within
 a few weeks, possibly with a new impartial vote  taker.  Discus-
 sion on the proposal is still open until the new vote is called...""
                                -- by Lawrence, Nov 20, 1992.


A lot of confusion arose among the netter as  to  whom  to  vote.
Therefore  it was decided to give a cool down period, so that all
confusions are over. It has been over 4 months  of  that  instant
and now we are again attempting to create this newsgroup. A fresh
RFD is hereby being issued. Please! take part in  the  discussion
under the same  title heading  and in  ""news.groups""  or at least
cross-post it to ""news.groups"".


****************************************************************

                REQUEST  FOR  DISCUSSION

****************************************************************



NAME OF PROPOSED NEWSGROUP: 
==========================

     soc.religion.islam.ahmadiyya


CHARTER: 
=======

     A religious newsgroup, which would mainly  discuss  the  be-
liefs,  teachings,  philosophy  and ideologies of all major reli-
gions of the world as  they  exist  to  foster  better  religious
knowledge  and  understanding among followers of all religions as
they share common basis. This newsgroup will be devoted to  build
a  peaceful  mutual  understanding  of  the  Ahmadiyya  branch of
Islam, its peacefull beliefs, ideology and philosophy and how  it
is  different  from  other  branches  of Islam in fostering world
peace and developing better understanding among religious people.
It may also be used to post important religious events within the
World Wide Ahmadiyya Islamic Community in general.


PURPOSE OF THE GROUP: 
====================

     The following are some of the main purposes this group will
     achieve:

     i)   To discuss the common beliefs of all major religions as
          they relate to Ahmadiyya Muslim Community.

     ii)  To discuss the doctrines, origin and teachings  of this
          puissant spiritual force on earth.

     iii) To examine Islamic teachings and beliefs in general  in
          light  of the Quran  and established Islamic traditions
          of 15 centuries from Ahmadiyya perspective.

     iv)  To discuss the similarities  between Ahmadi Muslims and
          people of other Religions  of the world and discuss how
          religious tolerance  and respect to other's  faiths can
          be brought about to  eliminate inter-religion rivalries
          and hatred among people of religions. 

     v)   To discuss the origin and teachings of all religions in
          general and Islamic and Ahmadiyya Muslims in particular
          to foster better understanding among Ahmadi Muslims and
          other religious people.

     vi)  To discuss current world problems and solution to these
          problems as offered by religion.

     vii) To exchange important news and views about the Ahmadiyya
          Muslim Community and other Religions.

     viii)To add diversity in the religious newsgroups present
          on Usenet.

     ix)  To discuss why  religious persecution is on the rise  in
          the world  and find  solutions to remedy the ever deter-
          iorating  situation  in the  world in general and in the 
          Islamic world in particular.

     x)   To discuss the contributions of founders of  all  reli-
          gions and their  people for humanity, society and world 
          peace in general and by the International Ahmadiyya Mus
          -lim Community in particular.


TYPE: 
====

The group will be MODERATED for orderly and free religious dialo-
gue.   The moderation will NOT prevent disagreement or dissent to
beliefs, but will mainly be used  to  prevent  derogatory/squalid
use  of  dialect  and irrelevant issues. The moderators have been
decided through personal e-mail and through a  general  consensus
among  the proponants by discussion in news.groups. The following
moderators have been proposed and agreed upon:

Moderator:     Nabeel A. Rana  (rana@rintintin.colorado.edu)  
Co-Moderator:  Dr. Tahir Ijaz  (ijaz@ccu.umanitoba.ca)



A BRIEF DESCRIPTION ABOUT AHMADIYYA/ISLAM:
=========================================


        The Ahmadiyya Movement in Islam, an international organi-
sation, was founder in 1989 in Qadian, India. The founder of this
sect, Hazrat Mirza Ghulam Ahmad (1835-1908), proclaimed to be the
Promised Reformer of this age as foretold in almost all the major
religions of the world today (Islam, Christianity, Judiasm,  Hin-
duism).  He  claimed  to  be  the  long awaited second comming of
Jesus Christ (metaphorically), the Muslim Mahdi, and the Promised
Messiah.  He  claimed that the prophecies contained in almost all
the great religions of the world about the advent of a  messenger
from God have been fulfilled.

        The claims Hazrat Ahmad raised storms  of  hostility  and
extreme  oposition from many priestlike people of Muslims, Chris-
tians, Jews and Hindus of that age. Such opposition is often wit-
nessed  in  the history of divine reformers. Even today this sect
is being persecuted specially in  some  of  the  Muslim  regimes.
Dispite  the  opposition  and persecution, this sect has won many
adherents in 130 countries. It has over 10 million followers, who
come from a diverse ethnic and cultural background.

        The sect is devoted to world peace and in bringing  about
a better understanding of religion, and the founders of all reli-
gions. Its mission is to unite mankind into one Universal  broth-
erhood  and  develop  a  better  understanding  of  faith. Ahmadi
Muslims have always been opposed to all kind of violence and spe-
cially religious intollerance and fundamentalism.

        Among its many philanthropic activities, the sect has es-
tablished  a network of hundreds of schools, hospitals, and clin-
ics in many third world countries. These institutions are staffed
by  volunteer  professional  and are fully financed by the sect's
internal resources.

        The Ahmadiyya mission is to bring about a universal moral
reform,  establish  peace and justice, and to unite mankind under
one universal religion.


NEWSGROUP CREATION: 
==================",soc.religion.christian
"[Deletions]

Geez, Dal must have slipped something into Ted's drink sometime.  Comparing
Prince to Pagnozzi offensively is laughable.  Prince has never hit well in
the minors and he's now 27 years old, I think.  Pagnozzi was not a bad hitter
in the minors.  (I'll bring in the numbers tomorrow assuming I don't have
another brain cramp and forget.)  He had a very good year at Louisville 
before coming up to the majors.  As I recall, the hype on Pagnozzi coming up
in the organization was good hit, decent fielding.  When he got to the 
majors and didn't hit as well as expected (not as much playing time?), he 
became Exhibit 312 in Nichols' Law of Catcher Defense and got the reputation 
as an outstanding defensive catcher.  It's not clear he ever learned to
hit.  His four years with more than 100 AB--

Born 31 July 1962
Year     AB      BA     SLG     OBA  
1988    195    .282    .320    .328
1990    220    .277    .373    .321
1991    459    .264    .351    .317
1992    485    .249    .359    .290 

No power, less-than-league-average walks, peak year when he turned 28, 
now declining.  If Ted is going to invoke Pagnozzi as a model for Prince,
given that Prince has underperformed Pagnozzi in the minors, it's not
a rosy picture.

BTW, I'm still unhappy with moving Zeile, who had the same reputation 
coming up in the Cardinal organization as Pagnozzi, except that he was
a much, much better hitter, to 3rd where he could be an average hitter
and a below average fielder instead of a well-above average hitter
as an average (or below average) fielding catcher.

Harold",rec.sport.baseball
"Boy, hats off to any Cubs fan who can actually muster up the courage to put
down Braves fans.  I mean, all the Braves have done is gone to two consecutive
world series.  Also, being the Cubs fan that I am, I really have to hand it to
all the Braves fans out there that are capable of driving me crazy with that
infernal cheer that they have.  

However, I do have to protest anyone saying that all Cubs fans are stupid.  The
way I see it, either I'm just too stupid to acknowledge it, or that observation
was just plain wrong.  You might have us confused with Bear fans. ;)

Anyway, about a two weeks ago just about everyone was saying that the Cubs
would finish up last in their division.  (Even behind Florida?!?  Sheesh!)  
These same people were predicting the Braves to clean up in their respective
division.  Well,  we're ten games into the season and these people are a little
less vocal now.  I wonder why.

Well, the way I see it, the East is up for grabs, and whoever wants it most is
going to take it, with the exception of Florida.  Every team seems to have
good batting and pitching, with Philly presently leading the pack.  But, I just
have to point out, if the Cubs do take the East, they'll do it without the
benefit of a competent manager.  However, and it pains me to say it, the
pennant is going to go to the West.

Just had to get that off my chest.

						Doc",rec.sport.baseball
 ,sci.med
"Hi,


Anyone has a converter from BMP to any format that xview or xv can

handle?  This converter must run Unix..  I looked at the FAQ and downloaded
several packages but had no luck...  thanks in advance.

ed",comp.graphics
": Hi,

: I am new to this newsgroup, and also fairly new to christianity.
: ... I realize I am very ignorant about much of the Bible and
: quite possibly about what Christians should hold as true. This I am trying
: to rectify (by reading the Bible of course), but it would be helpful
: to also read a good interpretation/commentary on the Bible or other
: relevant aspects of the Christian faith. One of my questions I would
: like to ask is - Can anyone recommend a good reading list of theological
: works intended for a lay person?

I'd recommend McDowell's ""Evidence that Demands a Verdict"" books (3 I
think) and  Manfred Brauch's ""Hard Sayings of Paul"".  He also may have
done ""Hard Sayings of Jesus"".  My focus would be for a new Christian to
struggle with his faith and be encouraged by the historical evidence,
especially one who comes from a background which emphasizes knowable faith.",soc.religion.christian
"
[deleted] 

I am glad that I am not an atheist.  It seems tragic that some people 
choose a meaningless existence.  How terrible to go on living only 
because one fears death more than life.  I feel so sorry for Eric and 
yet any attempts to share my joy in life with him would be considered as 
further evidence of the infectious nature of Christianity.    

As a Christian I am free to be a human person.  I think, love, choose, 
and create.  I will live forever with God.

Christ is not a kind of drug.  Drugs are a replacement for Christ.  
Those who have an empty spot in the God-shaped hole in their hearts must 
do something to ease the pain.  This is why the most effective 
substance-abuse recovery programs involve meeting peoples' spiritual 
needs.

Thank you, Eric for your post.  It has helped me to appreciate how much 
God has blessed me.  I hope that you will someday have a more joy-filled 
and abundant life.",soc.religion.christian
