bruises,cap-color,cap-radius,cap-shape,cap-surface,class,gill-attachment,gill-color,gill-size,gill-spacing,habitat,odor,population,ring-number,ring-radius,ring-type,spore-print-color,stalk-color-above-ring,stalk-color-below-ring,stalk-height,stalk-root,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,veil-color,veil-type
t,w,10.86300294,x,f,e,f,w,n,w,d,a,v,o,2.235461977,p,u,w,w,18.40767357,b,t,s,s,w,p
t,y,13.03941574,x,s,e,f,n,b,c,m,a,n,o,13.32902014,p,k,w,w,8.033136871,c,e,s,s,w,p
t,w,4.99761111,x,y,p,f,n,n,c,u,p,v,o,6.702175846,p,n,w,w,24.18015069,e,e,s,s,w,p
t,y,3.496534733,x,y,e,f,p,b,c,g,l,s,o,14.12879489,p,n,w,w,15.77132334,r,e,s,y,w,p
f,g,12.44368569,s,f,e,f,p,n,c,u,n,y,o,5.763824214,p,n,w,w,16.6636596,e,e,s,s,w,p
t,y,4.124643716,x,y,e,f,w,b,c,g,l,y,o,6.107096176,p,k,w,w,6.499972871,r,e,s,y,w,p
t,y,7.453251222,x,s,e,f,p,n,w,d,l,v,o,14.48592445,p,u,w,w,12.1705663,b,t,s,s,w,p
f,n,11.02380349,s,f,e,f,k,n,c,u,n,y,o,6.336606524,p,n,w,w,21.29300703,e,e,s,s,w,p
t,w,13.09796904,x,s,p,f,k,n,c,g,p,v,o,2.614896096,p,k,w,w,16.33169737,e,e,s,s,w,p
t,w,1.994251187,x,y,e,f,g,b,c,m,a,n,o,9.387374752,p,n,w,w,9.6466197,c,e,s,s,w,p
t,n,12.2067932,f,y,p,f,p,n,c,g,p,v,o,8.763202084,p,k,w,w,7.946923251,e,e,s,s,w,p
f,g,7.608569863,f,s,e,f,k,b,w,g,n,a,o,7.175225526,e,n,w,w,2.770993568,e,t,s,s,w,p
t,y,3.597684756,x,s,e,f,g,b,c,m,l,s,o,7.131690614,p,n,w,w,8.131872061,c,e,s,s,w,p
f,w,10.08634194,x,s,e,f,n,b,w,g,n,s,o,3.970507087,e,k,w,w,18.75748892,e,t,s,f,w,p
t,y,4.525237247,b,s,e,f,w,b,c,g,a,n,o,7.845789418,p,n,w,w,24.70588346,c,e,s,s,w,p
f,g,2.909469496,f,f,e,f,h,b,w,g,n,a,o,10.75906996,e,n,w,w,5.080841919,e,t,s,s,w,p
t,w,12.36377901,x,s,e,f,n,b,c,g,l,n,o,5.867499581,p,k,w,w,12.90379857,c,e,s,s,w,p
t,w,2.179210013,b,s,e,f,n,b,c,m,l,s,o,11.84785493,p,n,w,w,22.34099646,c,e,s,s,w,p
t,w,6.898818865,b,s,e,f,w,b,c,g,l,s,o,8.714132751,p,n,w,w,5.192635558,c,e,s,s,w,p
t,w,12.67647728,b,y,e,f,w,b,c,m,l,s,o,12.09066334,p,n,w,w,22.38980972,c,e,s,s,w,p
t,w,5.725066299,f,s,e,f,w,n,w,d,l,v,o,4.677193431,p,u,w,w,11.49070555,b,t,s,s,w,p
t,y,11.29256992,x,y,e,f,g,b,c,m,l,s,o,7.474925138,p,k,w,w,8.150654295,c,e,s,s,w,p
t,w,10.81698761,f,s,e,f,p,n,w,d,a,v,o,9.515483436,p,n,w,w,13.71720901,b,t,s,s,w,p
t,w,11.21614132,x,y,p,f,w,n,c,u,p,v,o,3.943921802,p,n,w,w,16.71131106,e,e,s,s,w,p
t,w,9.032535392,f,f,e,f,w,n,w,d,l,v,o,6.443716788,p,n,w,w,6.572787109,b,t,s,s,w,p
t,y,9.565613445,x,y,e,f,n,b,c,g,a,s,o,1.952017795,p,n,w,w,19.16988954,c,e,s,s,w,p
t,n,5.377208224,x,s,p,f,p,n,c,g,p,v,o,10.58330049,p,n,w,w,13.02546216,e,e,s,s,w,p
t,y,1.272022174,b,s,e,f,w,b,c,g,l,n,o,7.497243875,p,n,w,w,7.151679643,c,e,s,s,w,p
t,n,9.905713972,x,y,e,f,w,b,c,p,a,y,o,8.099054299,p,k,w,w,13.99005602,r,e,s,y,w,p
t,y,5.818209144,b,y,e,f,g,b,c,m,l,n,o,13.00842582,p,k,w,w,8.595385109,c,e,s,s,w,p
f,n,1.278051177,s,f,e,f,k,n,c,u,n,v,o,7.607694319,p,n,w,w,5.083617188,e,e,s,s,w,p
t,n,12.89401437,f,y,e,f,w,b,c,p,a,y,o,12.01213886,p,k,w,w,21.26637208,r,e,s,y,w,p
t,y,11.02310695,x,y,e,f,k,b,c,g,a,n,o,3.800975055,p,k,w,w,9.472531158,c,e,s,s,w,p
f,g,6.604017185,x,f,e,f,k,b,w,g,n,s,o,11.62821564,e,k,w,w,9.727054217,e,t,f,f,w,p
f,w,3.18334779,f,f,e,f,k,b,w,g,n,a,o,7.383097806,e,n,w,w,16.4082809,e,t,s,f,w,p
t,y,5.271561108,x,y,e,f,w,b,c,m,l,n,o,7.865246264,p,n,w,w,7.082463583,c,e,s,s,w,p
t,y,5.407592268,b,s,e,f,k,b,c,g,l,n,o,3.120087903,p,k,w,w,22.91645591,c,e,s,s,w,p
t,w,5.712050878,b,y,e,f,g,b,c,m,a,n,o,9.478878516,p,k,w,w,9.024976492,c,e,s,s,w,p
t,w,10.15788727,x,y,e,f,w,b,c,g,a,s,o,5.30244715,p,n,w,w,18.18972722,c,e,s,s,w,p
f,n,12.19734817,x,s,e,f,p,b,w,g,n,a,o,5.20244611,e,n,w,w,2.621949357,e,t,f,s,w,p
t,w,5.553381018,x,y,e,f,g,b,c,g,l,s,o,4.484460467,p,n,w,w,13.6692572,c,e,s,s,w,p
f,n,12.80801477,s,f,e,f,k,n,c,u,n,v,o,9.402701545,p,k,w,w,14.86884372,e,e,s,s,w,p
t,w,8.472403945,x,s,e,f,w,n,w,d,a,v,o,4.833922036,p,u,w,w,15.7632803,b,t,s,s,w,p
t,n,12.02157257,x,y,e,f,w,b,c,g,l,s,o,13.35634621,p,k,w,w,13.09716006,r,e,s,y,w,p
t,y,1.772750659,b,y,e,f,k,b,c,g,a,n,o,9.16434539,p,n,w,w,17.65807791,c,e,s,s,w,p
t,w,8.588687272,x,y,e,f,k,b,c,g,a,n,o,7.301667952,p,n,w,w,10.62836948,c,e,s,s,w,p
t,w,8.572730678,b,y,e,f,n,b,c,m,a,s,o,13.08181801,p,k,w,w,10.86635485,c,e,s,s,w,p
t,y,11.36668715,b,s,e,f,g,b,c,g,a,s,o,4.387447499,p,k,w,w,13.87116421,c,e,s,s,w,p
t,y,8.899996559,b,s,e,f,g,b,c,m,l,s,o,14.49420695,p,k,w,w,19.60452,c,e,s,s,w,p
t,y,11.48808806,b,y,e,f,n,b,c,g,a,n,o,4.29896757,p,k,w,w,25.05485806,c,e,s,s,w,p
f,n,7.646640015,x,f,e,f,k,n,c,u,n,y,o,2.525016188,p,n,w,w,3.378096755,e,e,s,s,w,p
t,n,6.730017607,f,y,e,f,n,b,c,g,l,y,o,6.069905308,p,n,w,w,13.34521592,r,e,s,y,w,p
t,w,10.02192581,x,y,e,f,k,b,c,g,a,s,o,2.327069172,p,n,w,w,21.76473252,c,e,s,s,w,p
t,y,1.708723728,f,y,e,f,w,b,c,p,l,y,o,2.384446578,p,n,w,w,10.98409713,r,e,s,y,w,p
t,w,3.317475779,b,s,e,f,w,b,c,g,a,s,o,2.231356475,p,n,w,w,9.142196565,c,e,s,s,w,p
t,w,6.66896455,b,s,e,f,w,b,c,m,a,s,o,14.4349193,p,k,w,w,17.17472335,c,e,s,s,w,p
t,n,2.186131832,x,y,e,f,w,b,c,g,l,y,o,8.874024459,p,k,w,w,9.877250865,r,e,s,y,w,p
t,w,8.853476871,b,s,e,f,k,b,c,g,a,s,o,3.260339759,p,k,w,w,25.24831387,c,e,s,s,w,p
f,g,11.44438965,x,f,e,f,g,n,c,u,n,y,o,4.476242858,p,n,w,w,17.54963279,e,e,s,s,w,p
t,y,9.070020013,b,s,e,f,k,b,c,g,l,s,o,2.849685126,p,n,w,w,10.88576976,c,e,s,s,w,p
t,y,5.220215081,x,f,e,f,n,n,w,d,l,v,o,2.684684331,p,u,w,w,4.646082084,b,t,s,s,w,p
t,y,3.841381767,b,y,e,f,w,b,c,g,a,s,o,13.71617183,p,k,w,w,20.04252854,c,e,s,s,w,p
t,y,10.49491833,f,y,e,f,p,b,c,g,l,s,o,12.32001965,p,n,w,w,2.494917978,r,e,s,y,w,p
t,w,5.069210661,b,y,e,f,w,b,c,m,l,n,o,6.205545915,p,k,w,w,13.24440619,c,e,s,s,w,p
t,w,6.141591653,b,y,e,f,k,b,c,m,a,n,o,12.70832556,p,k,w,w,10.28900574,c,e,s,s,w,p
t,y,10.61583198,b,y,e,f,g,b,c,g,a,s,o,9.787148612,p,n,w,w,4.693371364,c,e,s,s,w,p
t,y,5.204997518,x,y,e,f,g,b,c,m,l,n,o,10.96385055,p,n,w,w,21.69725192,c,e,s,s,w,p
t,y,1.804400749,b,s,e,f,g,b,c,g,l,n,o,3.547980713,p,n,w,w,6.359278106,c,e,s,s,w,p
t,w,10.07217373,x,y,p,f,p,n,c,u,p,v,o,4.48103904,p,n,w,w,7.411536057,e,e,s,s,w,p
f,n,9.664738494,s,f,e,f,g,n,c,u,n,y,o,10.24754461,p,n,w,w,16.79422595,e,e,s,s,w,p
f,n,11.7006085,f,f,e,f,g,n,c,u,n,v,o,7.638038001,p,k,w,w,14.06749362,e,e,s,s,w,p
t,y,10.09371106,x,s,e,f,g,b,c,m,a,s,o,14.07580184,p,n,w,w,21.02338719,c,e,s,s,w,p
t,n,11.69862558,f,y,e,f,p,b,c,p,a,s,o,6.458172693,p,k,w,w,4.221991078,r,e,s,y,w,p
t,w,10.01524815,x,y,p,f,k,n,c,g,p,s,o,9.189525067,p,k,w,w,11.07635913,e,e,s,s,w,p
t,w,6.744560004,b,s,e,f,g,b,c,m,l,s,o,2.678406218,p,n,w,w,18.89971624,c,e,s,s,w,p
f,g,10.58384083,f,f,e,f,p,n,c,u,n,v,o,4.087926421,p,k,w,w,2.791985897,e,e,s,s,w,p
t,y,2.414829271,b,y,e,f,g,b,c,g,l,n,o,3.029047356,p,n,w,w,22.09156324,c,e,s,s,w,p
t,n,12.28033233,x,y,e,f,w,b,c,p,a,y,o,12.57956527,p,n,w,w,21.71424489,r,e,s,y,w,p
f,w,8.228219978,x,f,e,f,p,b,w,g,n,s,o,11.48645046,e,k,w,w,9.012739777,e,t,s,f,w,p
t,w,3.357009376,x,s,e,f,w,n,w,d,l,v,o,3.253143495,p,n,w,w,17.28208205,b,t,s,s,w,p
t,w,3.35293621,b,s,e,f,w,b,c,m,l,s,o,2.984850223,p,n,w,w,8.149259231,c,e,s,s,w,p
t,y,6.74930349,f,s,e,f,w,n,w,d,a,v,o,11.64746934,p,n,w,w,7.046652192,b,t,s,s,w,p
t,y,9.026604227,x,s,e,f,k,b,c,m,a,n,o,6.454126765,p,n,w,w,23.30675475,c,e,s,s,w,p
f,g,9.999073425,f,f,e,f,g,n,c,u,n,y,o,10.55341197,p,n,w,w,9.834171827,e,e,s,s,w,p
t,y,8.442276168,b,s,e,f,n,b,c,g,a,s,o,6.8467481,p,k,w,w,8.699764775,c,e,s,s,w,p
t,w,7.275012626,x,s,e,f,g,b,c,m,l,n,o,12.48175432,p,n,w,w,17.86796656,c,e,s,s,w,p
t,w,7.316163368,x,y,e,f,n,b,c,m,l,s,o,4.804743784,p,n,w,w,20.05012727,c,e,s,s,w,p
t,w,9.62051182,f,s,e,f,n,n,w,d,a,v,o,12.81758654,p,n,w,w,7.047158505,b,t,s,s,w,p
t,y,4.026519119,x,y,e,f,w,b,c,g,l,s,o,9.759970832,p,n,w,w,25.14043813,c,e,s,s,w,p
t,w,9.799769767,b,s,e,f,w,b,c,g,l,s,o,4.252943998,p,k,w,w,4.717215778,c,e,s,s,w,p
t,w,8.267720371,x,s,e,f,g,b,c,g,a,n,o,3.239621,p,k,w,w,23.63953541,c,e,s,s,w,p
f,w,6.775353827,x,f,e,f,h,b,w,g,n,s,o,7.621237655,e,k,w,w,12.15706404,e,t,f,s,w,p
t,n,3.789712463,f,y,e,f,n,b,c,p,l,y,o,10.32537989,p,k,w,w,24.07034261,r,e,s,y,w,p
t,w,12.10798842,x,s,p,f,k,n,c,u,p,v,o,6.154829804,p,n,w,w,8.259896362,e,e,s,s,w,p
t,w,7.993014572,b,s,e,f,n,b,c,g,a,n,o,3.510917696,p,n,w,w,24.93176246,c,e,s,s,w,p
t,w,9.314485888,b,s,e,f,k,b,c,m,a,s,o,13.15123769,p,k,w,w,12.64968151,c,e,s,s,w,p
t,w,11.50451051,b,y,e,f,n,b,c,g,l,n,o,2.165522262,p,n,w,w,11.92698458,c,e,s,s,w,p
t,w,11.86153763,b,y,e,f,w,b,c,g,a,n,o,9.538984847,p,k,w,w,12.46228418,c,e,s,s,w,p
t,y,12.39389953,x,s,e,f,w,b,c,g,a,s,o,1.628678126,p,k,w,w,11.86833825,c,e,s,s,w,p
t,w,3.954942893,b,s,e,f,w,b,c,m,l,n,o,4.40871997,p,k,w,w,5.563668378,c,e,s,s,w,p
t,y,8.885420963,x,f,e,f,n,n,w,d,a,v,o,3.553164984,p,n,w,w,12.6295422,b,t,s,s,w,p
